High-level Description,App Sequence,Category sequence
I only have a half of hour to arrive there. Check if I can take bus or I have to take a taxi.,"{apps: 'BusApp', 'Maps', 'Uber'} ","['Maps & Navigation', 'Travel & Local', 'Maps & Navigation']"
My best friend likes pop music.,"{apps: 'spotify', 'whatsapp'}","['Music & Audio', 'Communication']"
check if my friend sent the money to me.,"{apps: 'bank', 'messenger'}","['Finance', 'Communication']"
I want to learn snowboarding.,"{apps: 'YouTube', 'Amazon'}","['Video Players & Editors', 'Shopping']"
I took many photos during today's family event.,"{apps: 'Photos', 'Line', 'Instagram'}","['Photography', 'Communication', 'Social']"
I will have a dinner with my wife for celebration.,"{apps: 'Maps', 'Maps', 'OpenTable', 'Messenger'}","['Travel & Local', 'Travel & Local', 'Food & Drink', 'Communication']"
I am drunk and I need to get home.,"{apps: 'Uber', 'Line', 'Maps'}","['Maps & Navigation', 'Communication', 'Travel & Local']"
Let me check my schedule to set the meeting,"{apps: 'Calender', 'Reminder', 'Google meet'}","['Productivity', 'Events', 'Business']"
I have to wake up early and get to station at 8 tomorrow.,"{apps: 'alarm', 'Maps', 'BusApp'}","['Tools', 'Travel & Local', 'Maps & Navigation']"
My mom is asking me to get some milk.,"{apps: 'Line', 'Maps', 'FoodPanda'}","['Communication', 'Travel & Local', 'Food & Drink']"
My computer is a bit out of date.,"{apps: 'bank', 'Amazon'}","['Finance', 'Shopping']"
We are planning to celebrate friend's birthday at a restaurant in Taipei.,"{apps: 'Line', 'Google Maps', 'Google', 'calender'}","['Communication', 'Maps & Navigation', 'Communication', 'Productivity']"
"I am taking a trip to Japan, what is the best time to go this month?","{apps: 'Calender', 'Trivago', 'Skyscanner','Weather'}","['Productivity', 'Travel & Local', 'Travel & Local', 'Weather']"
Big earth quake is coming!!!!!,"{apps: 'Line', 'flashlight', 'SOS App',''News App'}","['Communication', 'Lifestyle', 'Travel & Local', 'News & Magazines']"
"I am on a diet, how many calories can I consume the rest of the day.","{apps: 'Health', 'Diet App', 'Fitness'}","['Health & Fitness', 'Health & Fitness', 'Health & Fitness']"
Check how much I paid for subscription.,"{apps: 'Settings', 'Appstore'}","['Tools', 'Tools']"
I am looking for a job.,"{apps: 'Linkedin', 'Gmail', 'JobApp'}","['Social', 'Communication', 'Business']"
I want to purchase  AAPL.,"{apps: 'StockApp', 'News', 'Firstrade'}","['Finance', 'News & Magazines', 'Finance']"
I am having a date tomorrow night.,"{apps: 'Weather', 'Instagram', 'Dcard', 'calender'}","['Weather', 'Social', 'Social', 'Productivity']"
Really excited about the Apple new released products.,"{apps: 'bank', 'apple store'}","['Finance', 'Tools']"
"Just had a really tough day, hope to find a way to recharge myself.","{apps: 'Netflix', 'Ubereats', 'Spotify'}","['Entertainment', 'Food & Drink', 'Music & Audio']"
It's a tough day and I do not want to be alone right now.,"{apps: 'Line', 'Messenger', 'Tinder', 'Map'}","['Communication', 'Communication', 'Lifestyle', 'Maps & Navigation']"
I am not allowed to get into bar unless I am vaccined.,"{apps: 'HealthCare App', 'Maps', 'Google'}","['Health & Fitness', 'Travel & Local', 'Communication']"
The upcoming exam is stressing me out.,"{apps: 'Quizlet', 'Spotify', 'Youtube'}","['Education', 'Music & Audio', 'Video Players & Editors']"
"Our anniversary is around the corner; if she recieve a hand-made card, she will be happy.","{apps: 'Youtube', 'Photo', 'Google Photo', 'Dcard'}","['Video Players & Editors', 'Photography', 'Photography', 'Social']"
I just hit by a car.,"{apps: 'Phone', 'Camera', 'Line'}","['Tools', 'Photography', 'Communication']"
I am going to a weight loss competition please suggest me what is the recommended weight loss for a month,"{apps: 'Health', 'Safari', 'Calculator'}","['Health & Fitness', 'Communication', 'Tools']"
"At the end of the year, a friend who likes to run returns to Taipei, maybe we can participate in the marathon together.","{apps: 'Sport', 'Safari'}","['Sports', 'Communication']"
What are the top ten popular English songs in 2015,{apps: 'Music'},['Music & Audio']
Does the National Concert Hall have a program of classical music this month?,"{apps: 'Music', 'Safari'}","['Music & Audio', 'Communication']"
I'm going to play basketball at the riverbank court at night.,"{apps: 'Maps', 'Weather'}","['Travel & Local', 'Weather']"
There is an important interview next Monday afternoon.,"{apps: 'Calender', 'Reminder'}","['Productivity', 'Events']"
